,F1,ACC,JACCARD,AVG_SCORE,TOTAL_SCORE
KNeighborsClassifier(weights='distance')_21_features,0.9681527161783178,0.9684854186265287,0.9399499222689969,0.896551724137931,0.9468737366098482
"SVC(C=10, gamma='auto', random_state=42)_21_features",0.952108299225628,0.9524929444967074,0.9121189310228188,0.9184952978056427,0.9332404504665407
DecisionTreeClassifier(max_depth=6)_21_features,0.9457717929780813,0.9482596425211665,0.9014213929139476,0.9169278996865203,0.9265956523319575
